"lon","lat","weight","interval"
121.57168,25.03171,1,1454212800
121.57491,25.06972,22,1454212800
121.57838,25.04934,7,1454212800
121.58489,25.05668,2,1454212800
121.58695,25.12271,1,1454212800
121.59291,25.04937,1,1454212800
121.59459,25.07848,1,1454212800
121.60127,25.12090,1,1454212800
121.61039,25.07613,1,1454212800
121.61041,25.07519,1,1454212800
121.61436,25.05719,5,1454212800
121.61520,25.04485,6,1454212800
121.61547,25.06688,12,1454212800
121.61720,25.05595,1,1454212800
121.46877,25.13442,36,1454212800
121.49406,25.03042,10,1454212800
121.49443,25.03627,48,1454212800
121.50032,25.09277,83,1454212800
121.50569,25.04530,1,1454212800
121.50571,25.08937,72,1454212800
121.50604,25.02585,1,1454212800
121.50669,25.04119,1,1454212800
121.50688,25.11593,2,1454212800
121.50700,25.03677,2,1454212800
121.50756,25.04199,37,1454212800
121.50812,25.04107,7,1454212800
121.50880,25.04289,7,1454212800
121.50970,25.08407,5,1454212800
121.50994,25.05836,56,1454212800
121.51012,25.11204,1,1454212800
121.51101,25.06432,4,1454212800
121.51556,25.02756,3,1454212800
121.51566,25.04351,2,1454212800
121.51578,25.03102,7,1454212800
121.51587,25.04104,1,1454212800
121.51682,25.06850,1,1454212800
121.51785,25.03419,2,1454212800
121.51822,25.03963,1,1454212800
121.51851,25.07241,43,1454212800
121.52056,25.04690,1,1454212800
121.52102,25.05228,1,1454212800
121.52305,25.06823,1,1454212800
121.52404,25.03600,1,1454212800
121.52413,25.02405,3,1454212800
121.52570,25.06095,3,1454212800
121.52570,25.09240,2,1454212800
121.52586,25.09045,1,1454212800
121.53303,25.04222,8,1454212800
121.53347,25.06471,2,1454212800
121.53449,25.01153,8,1454212800
121.53468,25.02690,2,1454212800
121.53501,25.05185,1,1454212800
121.53602,24.99618,137,1454212800
121.53655,25.06439,1,1454212800
121.53832,25.03445,1,1454212800
121.53968,24.99009,32,1454212800
121.54026,25.05162,1,1454212800
121.54529,25.10665,5,1454212800
121.54822,25.02244,5,1454212800
121.54846,25.03373,3,1454212800
121.54847,25.02080,1,1454212800
121.54955,25.05799,2,1454212800
121.55059,25.02912,1,1454212800
121.55104,25.01840,2,1454212800
121.55467,25.02208,1,1454212800
121.55792,25.04540,2,1454212800
121.55799,25.04112,1,1454212800
121.55853,25.03320,1,1454212800
121.56251,25.03653,1,1454212800
121.56763,25.05737,1,1454212800
121.56805,24.98916,1,1454212800
121.56945,25.05014,1,1454212800
121.57115,24.99078,2,1454212800
121.57416,25.06228,2,1454212800
121.57451,25.08577,1,1454212800
121.57803,25.04531,1,1454212800
121.57988,24.96887,3,1454212800
121.58062,25.10185,2,1454212800
121.58218,25.07865,1,1454212800
121.58562,25.05910,38,1454212800
121.58581,25.00569,2,1454212800
121.58600,25.06268,4,1454212800
121.58776,25.03664,3,1454212800
121.58931,25.06331,4,1454212800
121.58941,25.05342,1,1454212800
121.60318,25.06237,4,1454212800
121.61010,25.03317,1,1454212800
121.61130,25.07627,2,1454212800
121.61650,25.05214,6,1454212800
121.61759,25.05505,1,1454212800
121.61898,25.05687,15,1454212800
121.61939,25.07263,1,1454212800
121.47351,25.12536,1,1454212800
121.48888,25.03207,103,1454212800
121.49616,25.14466,1,1454212800
121.49894,25.13041,1,1454212800
121.50135,25.03780,8,1454212800
121.50234,25.04161,8,1454212800
121.50601,25.04105,5,1454212800
121.50706,25.03141,3,1454212800
121.50744,25.08761,48,1454212800
121.50896,25.05414,96,1454212800
121.51000,25.05628,274,1454212800
121.51066,25.06935,60,1454212800
121.51128,25.04529,4,1454212800
121.51164,25.10606,1,1454212800
121.51279,25.05397,60,1454212800
121.51529,25.04675,2,1454212800
121.51618,25.06834,3,1454212800
121.51677,25.06423,5,1454212800
121.51771,25.03369,8,1454212800
121.51868,25.06268,3,1454212800
121.51928,25.05286,2,1454212800
121.51952,25.10976,2,1454212800
121.52108,25.09386,1,1454212800
121.52197,25.06018,2,1454212800
121.52329,25.02551,150,1454212800
121.52415,25.08775,2,1454212800
121.52462,25.10444,1,1454212800
121.52671,25.05169,3,1454212800
121.52671,25.05170,1,1454212800
121.52692,25.02161,6,1454212800
121.52710,25.11831,1,1454212800
121.52805,25.06283,5,1454212800
121.52900,25.04371,2,1454212800
121.53009,25.06107,1,1454212800
121.53042,25.04286,2,1454212800
121.53152,25.05346,1,1454212800
121.53171,25.04530,3,1454212800
121.53449,25.01154,12,1454212800
121.53623,25.04552,1,1454212800
121.53944,25.06781,1,1454212800
121.54000,25.13542,1,1454212800
121.54034,24.99135,15,1454212800
121.54147,25.03769,1,1454212800
121.54265,25.13796,1,1454212800
121.54422,25.04778,1,1454212800
121.54580,24.98904,29,1454212800
121.54752,25.03771,1,1454212800
121.54931,25.03638,1,1454212800
121.55046,25.02469,1,1454212800
121.55267,24.97936,1,1454212800
121.56026,25.04861,2,1454212800
121.56033,25.01955,5,1454212800
121.56064,25.03327,2,1454212800
121.56265,25.00345,1,1454212800
121.56267,24.98222,1,1454212800
121.56284,25.01044,1,1454212800
121.56515,25.04200,1,1454212800
121.56581,25.03547,1,1454212800
121.56674,25.04481,1,1454212800
121.56975,25.05158,1,1454212800
121.57457,25.07306,2,1454212800
121.58144,25.00895,3,1454212800
121.58661,25.03912,1,1454212800
121.58676,25.04820,5,1454212800
121.59599,25.07100,1,1454212800
121.61271,25.05508,1,1454212800
121.61343,25.06316,1,1454212800
121.61767,25.06974,7,1454212800
121.61786,25.07325,1,1454212800
121.49247,25.02470,16,1454212800
121.49303,25.02056,2,1454212800
121.49922,25.02121,1,1454212800
121.49934,25.14050,3,1454212800
121.50247,25.02266,1,1454212800
121.50268,25.03004,1,1454212800
121.50300,25.12296,2,1454212800
121.50472,25.04706,81,1454212800
121.50893,25.02502,2,1454212800
121.51012,25.05093,11,1454212800
121.51138,25.04705,12,1454212800
121.51170,25.05835,88,1454212800
121.51215,25.04608,2,1454212800
121.51237,25.02647,2,1454212800
121.51324,25.06329,78,1454212800
121.51327,25.06277,12,1454212800
121.51333,25.02767,1,1454212800
121.51399,25.05134,1,1454212800
121.51666,25.06749,2,1454212800
121.51873,25.04572,1,1454212800
121.51899,25.06317,3,1454212800
121.52160,25.05236,6,1454212800
121.52334,25.10214,1,1454212800
121.52350,25.05653,2,1454212800
121.52379,25.08081,1,1454212800
121.52454,25.02739,1,1454212800
121.52456,25.10399,3,1454212800
121.52524,25.05489,1,1454212800
121.52578,25.01619,2,1454212800
121.52853,25.12647,2,1454212800
121.52900,25.04372,2,1454212800
121.52903,25.03394,10,1454212800
121.53421,25.04447,1,1454212800
121.53467,25.02690,1,1454212800
121.53669,25.13379,2,1454212800
121.53854,25.06421,2,1454212800
121.53857,25.02918,1,1454212800
121.53872,25.00440,1,1454212800
121.53915,25.00134,2,1454212800
121.54063,24.99312,74,1454212800
121.54126,25.01377,1,1454212800
121.54347,25.04474,1,1454212800
121.54565,25.05798,1,1454212800
121.54642,25.03336,1,1454212800
121.54696,25.07968,1,1454212800
121.54821,25.05736,1,1454212800
121.54868,25.04355,1,1454212800
121.55042,25.03351,1,1454212800
121.55114,25.00601,1,1454212800
121.55207,25.04130,1,1454212800
121.55209,24.97944,2,1454212800
121.55750,25.05170,2,1454212800
121.55930,25.04976,2,1454212800
121.55935,25.07127,1,1454212800
121.56039,24.98367,13,1454212800
121.56734,25.03605,1,1454212800
121.57173,25.07983,2,1454212800
121.57623,24.99940,1,1454212800
121.57775,25.07872,1,1454212800
121.57790,25.04646,1,1454212800
121.57808,25.04042,1,1454212800
121.57983,25.05588,2,1454212800
121.58218,25.06883,1,1454212800
121.58340,24.98824,1,1454212800
121.58805,25.06429,2,1454212800
121.58867,25.00189,1,1454212800
121.59046,25.07851,3,1454212800
121.60127,25.12093,1,1454212800
121.61033,25.03175,1,1454212800
121.61123,25.07018,9,1454212800
121.61268,25.04102,1,1454212800
121.61351,25.06896,1,1454212800
121.61413,25.06303,18,1454212800
121.61812,25.03645,2,1454212800
121.46447,25.12211,156,1454212800
121.47144,25.12294,3,1454212800
121.49165,25.02532,185,1454212800
121.49297,25.10952,1,1454212800
121.49849,25.13530,3,1454212800
121.50576,25.08594,90,1454212800
121.50806,25.12735,1,1454212800
121.50867,25.04543,3,1454212800
121.51104,25.05337,91,1454212800
121.51168,25.08287,1,1454212800
121.51170,25.05836,43,1454212800
121.51381,25.06072,32,1454212800
121.51400,25.05750,22,1454212800
121.51427,25.04639,1,1454212800
121.51431,25.05917,18,1454212800
121.51485,25.04549,4,1454212800
121.51502,25.02988,1,1454212800
121.51675,25.04905,1,1454212800
121.51721,25.03191,2,1454212800
121.51762,25.04794,24,1454212800
121.51818,25.04621,1,1454212800
121.52155,25.07856,15,1454212800
121.52196,25.06018,6,1454212800
121.52639,25.08795,1,1454212800
121.52668,25.04254,2,1454212800
121.52769,25.10116,2,1454212800
121.53174,25.13512,1,1454212800
121.53297,25.06239,2,1454212800
121.53564,25.00459,20,1454212800
121.53638,25.01355,1,1454212800
121.53653,25.18654,1,1454212800
121.53903,24.99496,3,1454212800
121.53976,25.04195,1,1454212800
121.53981,25.07289,21,1454212800
121.53995,24.99412,2,1454212800
121.54078,24.99381,9,1454212800
121.54451,25.05140,1,1454212800
121.54451,25.16238,1,1454212800
121.54465,25.06104,1,1454212800
121.54478,25.04245,2,1454212800
121.54825,25.04355,1,1454212800
121.55306,25.11860,6,1454212800
121.55636,25.04378,1,1454212800
121.55753,25.08322,5,1454212800
121.55941,24.99691,2,1454212800
121.56054,25.00930,1,1454212800
121.56125,25.08462,1,1454212800
121.56430,25.06239,1,1454212800
121.56460,25.05888,1,1454212800
121.57178,25.04694,1,1454212800
