"weight","lon","lat","interval"
23,121.56398,25.05181,23
1,121.62010,25.06690,23
3,121.75700,24.65860,23
1,121.47425,25.06864,07
8,121.48177,25.06198,07
2,121.51833,25.08733,07
1,120.28735,22.86770,08
1,120.33435,22.63420,08
1,120.62766,24.09865,08
1,120.63322,24.07156,08
3,121.17362,24.91106,08
9,121.17583,25.06139,08
3,121.23618,25.06270,08
2,121.25197,24.92747,08
6,121.29481,24.95931,08
14,121.30039,24.99339,08
4,121.30453,24.98288,08
216,121.40274,25.05456,08
42,121.47870,25.02781,08
322,121.48629,25.08797,08
1515,121.51170,25.05835,08
25,121.53007,25.05985,08
12,121.55870,24.98857,08
4,121.56605,25.04937,08
75,121.58451,25.04802,08
1,121.68887,24.71469,08
2,121.80195,25.10859,08
1,120.21152,22.97956,09
2,120.61385,24.22223,09
1,120.62207,24.33476,09
1,120.70358,23.83539,09
1,120.70551,24.14256,09
1,120.70775,24.22839,09
1,120.93736,24.84094,09
10,120.95745,24.77002,09
5,120.96315,24.80306,09
39,121.07517,24.88431,09
5,121.15159,24.97727,09
23,121.24343,25.02436,09
2,121.25889,24.96250,09
22,121.28524,25.07224,09
79,121.28917,25.03707,09
3,121.33726,24.93313,09
22,121.42774,25.05020,09
27,121.44347,25.16964,09
24,121.45099,25.17393,09
55,121.45972,25.00213,09
139,121.46203,25.05852,09
24,121.47660,25.08410,09
4,121.50949,25.08092,09
3,121.51930,25.07976,09
4,121.52062,25.04297,09
25,121.52751,25.12954,09
173,121.52957,25.07236,09
131,121.54565,25.05798,09
2,121.57118,25.07656,09
5,121.59288,25.07729,09
9,121.61954,25.00162,09
3,121.72640,24.76340,09
1,121.74615,24.74482,09
1,120.14401,23.28586,10
1,120.28625,22.62199,10
2,120.56418,22.43481,10
3,120.57664,23.95788,10
1,120.59700,24.24980,10
1,120.61070,23.96883,10
3,120.63779,24.13424,10
17,120.86560,24.63144,10
51,120.98089,24.72551,10
4,120.98661,24.90258,10
2,121.03124,24.86777,10
3,121.13631,24.88483,10
2,121.15765,24.87963,10
63,121.21165,25.05848,10
11,121.29653,25.05364,10
2,121.39405,25.02731,10
8,121.44201,24.97550,10
12,121.50177,25.21126,10
218,121.52328,25.11607,10
7,121.52336,24.99353,10
4,121.52592,24.99721,10
68,121.56258,25.02711,10
90,121.57828,25.06707,10
7,121.59030,25.08002,10
11,121.68569,24.96185,10
6,121.76246,25.15336,10
2,121.77879,25.12505,10
1,120.22329,23.01158,11
2,120.34121,22.60152,11
1,120.44025,23.93173,11
1,120.45473,23.60261,11
2,120.58600,23.87550,11
1,120.65132,24.21884,11
1,120.66153,24.13668,11
2,120.68025,24.14475,11
1,120.68031,24.15368,11
1,120.68333,23.97457,11
5,120.69837,24.43779,11
1,120.86584,24.68388,11
1,120.97681,23.97121,11
1,121.00176,24.81137,11
170,121.11589,24.89777,11
9,121.30088,25.01083,11
9,121.35030,24.95470,11
58,121.45755,25.06474,11
24,121.49458,25.02572,11
22,121.50544,25.02587,11
38,121.51628,25.03880,11
53,121.51704,25.04146,11
83,121.52041,25.07056,11
135,121.52719,24.99553,11
13,121.53174,25.13511,11
16,121.54386,25.10239,11
10,121.56379,25.03950,11
20,121.56821,25.02692,11
1,121.76323,24.75546,11
1,120.27902,22.71744,12
4,120.31823,23.41988,12
2,120.47849,23.74456,12
7,120.60483,23.93184,12
1,120.73195,24.11275,12
30,121.00965,24.86131,12
4,121.03392,24.89501,12
3,121.28861,24.98613,12
2,121.32771,24.97703,12
15,121.35065,24.95379,12
3,121.40869,24.97970,12
81,121.45253,24.99701,12
101,121.48691,25.00937,12
5,121.49799,24.97210,12
13,121.50641,25.12467,12
38,121.50699,25.13483,12
328,121.51012,25.04214,12
3,121.51440,25.00814,12
47,121.52493,25.03316,12
3,121.54454,25.04687,12
18,121.54682,25.15818,12
9,121.55949,25.07906,12
3,121.56070,24.17263,12
8,121.57209,25.00808,12
1,120.54123,23.71808,13
20,120.70734,24.47261,13
1,120.87008,24.36051,13
18,121.01554,24.82237,13
2,121.12326,24.93474,13
3,121.25350,24.97183,13
3,121.29480,24.95927,13
1,121.29603,24.92397,13
14,121.30248,24.97844,13
23,121.32227,24.96486,13
1,121.34983,24.73848,13
2,121.35009,24.90343,13
20,121.37914,24.94488,13
19,121.39624,24.97382,13
18,121.42563,25.19207,13
51,121.45334,25.06354,13
9,121.52997,25.12249,13
41,121.54002,25.06558,13
4,121.57179,24.98149,13
66,121.59861,25.05389,13
9,121.60933,25.07267,13
1,121.62658,24.96216,13
3,121.68678,25.17744,13
7,121.75180,24.75665,13
20,121.77190,24.70747,13
3,121.80445,24.65408,13
1,121.81698,24.80281,13
1,120.19533,23.36992,14
3,120.24186,23.04115,14
2,120.44139,24.04726,14
1,120.50311,22.48874,14
1,120.51732,24.20404,14
1,120.53789,22.54441,14
4,120.58219,24.08500,14
1,120.67009,24.15379,14
5,120.81472,24.62721,14
1,120.94342,24.01539,14
4,120.95626,24.82498,14
10,121.19918,24.93219,14
2,121.35041,24.94432,14
10,121.36677,25.01683,14
10,121.39022,25.03072,14
22,121.41970,24.98108,14
1,121.42637,24.92310,14
29,121.45060,25.10103,14
379,121.47092,25.05364,14
2,121.50091,24.94584,14
13,121.51152,25.00818,14
452,121.51679,25.04903,14
9,121.52260,25.06541,14
6,121.54740,25.15720,14
145,121.56246,25.04838,14
2,121.57367,25.16711,14
1,121.57797,25.29573,14
5,121.58891,25.09589,14
1,121.63404,24.11383,14
15,121.69740,25.21380,14
1,120.36273,22.66129,15
3,120.39080,23.67907,15
2,120.39840,23.43292,15
1,120.60276,24.13347,15
4,120.74563,24.27455,15
4,120.81879,24.00434,15
13,120.99359,24.79101,15
2,121.10540,24.90979,15
