a.log,a.lat,weight,timest
121.61905,25.05732,18,1484971200
121.47076,25.12494,2,1484971200
121.49593,25.02887,6,1484971200
121.49651,25.03499,6,1484971200
121.49755,25.03133,13,1484971200
121.50077,25.01827,9,1484971200
121.50148,25.15953,6,1484971200
121.50460,25.03630,9,1484971200
121.50629,25.04525,2,1484971200
121.50675,25.12902,1,1484971200
121.50829,25.04220,12,1484971200
121.50838,25.05690,107,1484971200
121.50991,25.11544,3,1484971200
121.51029,25.03783,2,1484971200
121.51128,25.05041,3,1484971200
121.51172,25.05208,23,1484971200
121.51278,25.12306,1,1484971200
121.51394,25.06255,6,1484971200
121.51397,25.04364,2,1484971200
121.51430,25.05917,18,1484971200
121.51524,25.07215,2,1484971200
121.51674,25.07180,1,1484971200
121.51800,25.11028,2,1484971200
121.51805,25.07062,1,1484971200
121.51886,25.04158,1,1484971200
121.51893,25.06307,11,1484971200
121.51902,25.04672,1,1484971200
121.52041,25.07056,3,1484971200
121.52129,25.08471,1,1484971200
121.52156,25.05221,3,1484971200
121.52173,25.05803,6,1484971200
121.52272,25.17488,2,1484971200
121.52309,25.06480,1,1484971200
121.52367,25.06688,1,1484971200
121.52589,25.03518,1,1484971200
121.53283,25.05779,1,1484971200
121.53470,25.03395,1,1484971200
121.53843,25.06713,1,1484971200
121.53871,25.03061,1,1484971200
121.53882,25.02265,5,1484971200
121.54620,25.04150,1,1484971200
121.54874,25.02053,1,1484971200
121.55236,25.03300,1,1484971200
121.55298,25.14354,3,1484971200
121.55488,24.98003,4,1484971200
121.55574,25.03639,1,1484971200
121.56033,25.14537,1,1484971200
121.56166,24.97292,9,1484971200
121.56398,25.05181,1,1484971200
121.56492,25.05007,2,1484971200
121.57209,25.00808,1,1484971200
121.57700,25.05650,1,1484971200
121.57815,25.00608,1,1484971200
121.58341,25.07647,1,1484971200
121.58737,25.08888,1,1484971200
121.59712,25.08832,1,1484971200
121.60703,25.05358,5,1484971200
121.61878,25.07467,1,1484971200
121.63023,25.03326,12,1484971200
121.45856,25.11455,3,1484971200
121.46473,25.11805,4,1484971200
121.49118,25.02767,7,1484971200
121.49334,25.03357,1,1484971200
121.49402,25.03027,5,1484971200
121.49419,25.01787,19,1484971200
121.49669,25.02397,3,1484971200
121.49722,25.03846,3,1484971200
121.49769,25.03712,5,1484971200
121.49953,25.03542,108,1484971200
121.49966,25.12243,1,1484971200
121.50445,25.04145,1,1484971200
121.50460,25.03631,2,1484971200
121.50474,25.04298,6,1484971200
121.50538,25.04680,88,1484971200
121.50623,25.03756,2,1484971200
121.50684,25.04084,3,1484971200
121.51016,25.08096,35,1484971200
121.51048,25.03988,1,1484971200
121.51359,25.04495,5,1484971200
121.51391,25.04219,1,1484971200
121.51507,25.07602,1,1484971200
121.51569,25.11775,2,1484971200
121.51634,25.08421,2,1484971200
121.51803,25.05817,1,1484971200
121.51935,25.10434,1,1484971200
121.51952,25.08231,3,1484971200
121.52294,25.04680,2,1484971200
121.52300,25.02689,2,1484971200
121.52478,25.02565,2,1484971200
121.52483,25.03260,1,1484971200
121.52508,25.02125,4,1484971200
121.52742,25.06698,3,1484971200
121.52823,25.02671,2,1484971200
121.53325,25.02206,3,1484971200
121.53341,25.01062,28,1484971200
121.53445,25.01449,10,1484971200
121.53699,25.03675,4,1484971200
121.53955,24.99984,2,1484971200
121.54445,25.05825,1,1484971200
121.54523,25.03749,1,1484971200
121.54744,25.03234,1,1484971200
121.54896,25.07273,1,1484971200
121.54964,24.98892,1,1484971200
121.55144,25.03476,1,1484971200
121.55147,25.04168,2,1484971200
121.55391,25.03752,1,1484971200
121.56246,25.04838,1,1484971200
121.56474,25.07890,1,1484971200
121.56742,25.06316,1,1484971200
121.56762,25.06476,1,1484971200
121.57439,25.05643,1,1484971200
121.57675,25.07186,2,1484971200
121.57681,25.05118,1,1484971200
121.57767,25.04069,2,1484971200
121.57787,25.06078,1,1484971200
121.58320,25.06455,1,1484971200
121.58616,25.04624,1,1484971200
121.59600,24.99959,6,1484971200
121.59875,25.06039,2,1484971200
121.60022,25.06285,34,1484971200
121.60116,25.05416,1,1484971200
121.60321,25.05288,46,1484971200
121.62300,25.03470,43,1484971200
121.47155,25.10852,37,1484971200
121.48736,25.10276,1,1484971200
121.48936,25.02734,61,1484971200
121.49334,25.03358,1,1484971200
121.49705,25.01928,4,1484971200
121.49863,25.02114,18,1484971200
121.50170,25.02067,1,1484971200
121.50768,25.04624,3,1484971200
121.50826,25.08106,2,1484971200
121.50834,25.05431,2,1484971200
121.50958,25.08670,11,1484971200
121.51050,25.05495,16,1484971200
121.51289,25.10947,1,1484971200
121.51334,25.05932,20,1484971200
121.51351,25.09628,2,1484971200
121.51929,25.02124,42,1484971200
121.52139,25.02692,1,1484971200
121.52148,25.04941,1,1484971200
121.52609,25.04047,1,1484971200
121.52691,25.06463,1,1484971200
121.52732,25.01887,7,1484971200
121.52759,25.06280,1,1484971200
121.52767,25.02140,3,1484971200
121.52806,25.06601,2,1484971200
121.53125,25.11189,2,1484971200
121.53330,25.04915,1,1484971200
121.53626,25.04839,3,1484971200
121.53648,25.06172,1,1484971200
121.53705,24.99821,1,1484971200
121.53772,25.05503,1,1484971200
121.54028,25.08164,1,1484971200
121.54058,25.04821,1,1484971200
121.54098,25.02165,3,1484971200
121.54106,25.05474,2,1484971200
121.54233,25.02162,1,1484971200
121.54295,25.04108,1,1484971200
121.54325,25.04219,3,1484971200
121.54455,25.05200,1,1484971200
121.55720,25.03325,1,1484971200
121.56042,25.05189,2,1484971200
121.56112,25.02352,1,1484971200
121.56132,25.05453,1,1484971200
121.56213,25.05556,1,1484971200
121.56705,25.05906,1,1484971200
121.57902,25.06850,1,1484971200
121.57919,25.05002,3,1484971200
121.58098,24.97780,3,1484971200
121.58137,25.04300,1,1484971200
121.58616,25.04625,1,1484971200
121.58658,25.07614,1,1484971200
121.58956,25.06987,1,1484971200
121.59294,24.99250,1,1484971200
121.60999,25.03346,1,1484971200
121.61266,25.04103,2,1484971200
121.61380,25.03620,2,1484971200
121.61987,25.05501,19,1484971200
121.49325,25.01910,48,1484971200
121.49449,25.02569,1,1484971200
121.49578,25.03702,1,1484971200
121.49672,25.03891,2,1484971200
121.49940,25.03613,9,1484971200
121.50073,25.03996,1,1484971200
121.50102,25.03314,99,1484971200
121.50703,25.04712,145,1484971200
121.50830,25.03621,5,1484971200
121.50834,25.05432,1,1484971200
121.50883,25.07616,255,1484971200
121.50884,25.06311,308,1484971200
121.50906,25.06634,29,1484971200
121.50928,25.07173,4,1484971200
121.51056,25.07956,130,1484971200
121.51133,25.05041,15,1484971200
121.51171,25.07431,6,1484971200
121.51244,25.02488,4,1484971200
121.51294,25.04219,2,1484971200
121.51342,25.06239,3,1484971200
121.51346,25.07603,88,1484971200
121.51486,25.05351,52,1484971200
121.51564,25.04977,8,1484971200
121.51662,25.06257,1,1484971200
121.51663,25.02344,58,1484971200
121.51827,25.05594,5,1484971200
121.51897,25.05311,9,1484971200
121.52040,25.09648,5,1484971200
121.52050,25.05238,7,1484971200
121.52333,25.12069,1,1484971200
121.52457,25.07258,2,1484971200
121.52633,25.11195,1,1484971200
121.52655,25.07894,11,1484971200
121.52866,25.01700,11,1484971200
121.52931,25.02673,2,1484971200
121.53275,25.11440,2,1484971200
121.53309,25.03904,1,1484971200
121.53401,25.02205,2,1484971200
121.53723,25.05793,7,1484971200
121.54090,25.04668,1,1484971200
121.54208,25.11734,1,1484971200
121.54362,25.05205,1,1484971200
121.54425,25.00578,1,1484971200
121.54831,25.04181,1,1484971200
121.55092,25.05412,1,1484971200
121.55196,25.06367,1,1484971200
121.55436,25.03321,2,1484971200
121.56037,24.99055,1,1484971200
121.56114,25.03354,1,1484971200
121.56693,25.05151,2,1484971200
121.57374,25.00673,1,1484971200
121.57830,25.06645,2,1484971200
121.59000,25.07957,1,1484971200
121.59259,25.06819,1,1484971200
121.60638,25.07381,1,1484971200
121.62591,25.02921,4,1484971200
121.46691,25.12319,8,1484971200
121.48583,25.11623,1,1484971200
121.49111,25.02910,35,1484971200
121.49115,25.03533,230,1484971200
121.49634,25.13512,2,1484971200
121.49913,25.04021,3,1484971200
121.50074,25.02033,14,1484971200
121.50404,25.01999,1,1484971200
121.50931,25.04737,6,1484971200
121.50992,25.11683,1,1484971200
121.51094,25.04945,2,1484971200
121.51280,25.07231,42,1484971200
121.51393,25.06880,6,1484971200
121.51446,25.12230,1,1484971200
121.51483,25.04468,1,1484971200
121.51497,25.04627,1,1484971200
121.51644,25.04612,4,1484971200
121.51662,25.06258,2,1484971200
121.51742,25.04736,6,1484971200
121.51752,25.11462,1,1484971200
121.51897,25.05312,3,1484971200
121.51977,25.05258,2,1484971200
121.52055,25.06259,3,1484971200
121.52200,25.06825,1,1484971200
121.52241,25.05526,2,1484971200
121.52320,25.02432,1,1484971200
121.52381,25.03811,1,1484971200
121.52431,25.05512,1,1484971200
121.52834,25.05231,2,1484971200
121.52900,25.01987,1,1484971200
121.53229,25.01681,3,1484971200
121.53393,25.05776,1,1484971200
121.53446,25.07891,3,1484971200
121.53649,25.06032,1,1484971200
121.53788,25.01049,2,1484971200
121.54208,25.06761,3,1484971200
121.54356,25.03299,1,1484971200
121.54437,25.05288,1,1484971200
121.54646,25.03377,4,1484971200
121.54866,25.10199,1,1484971200
121.54938,25.03913,2,1484971200
121.56456,25.03810,1,1484971200
121.56882,24.99917,1,1484971200
121.57570,25.04981,1,1484971200
121.58955,25.06412,1,1484971200
121.60238,25.02399,1,1484971200
121.60517,25.06251,28,1484971200
121.61001,24.96296,3,1484971200
121.61524,25.06844,3,1484971200
121.61636,25.05222,3,1484971200
121.61765,25.06978,9,1484971200
121.61913,25.07148,1,1484971200
